Incident Number,Exposure Number,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,Zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,Estimated Property Loss,Estimated Contents Loss,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,Property Use,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spead,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,Neighborhood  District,Location
09099275,0,Phelps St. / Williams Av.,11/24/2009,093280068,11/24/2009 07:49:29 AM,11/24/2009 07:52:24 AM,11/24/2009 07:52:42 AM,SF,,B10,42,,2,9,0,0,0,0,E42,,,0,0,0,0,,"711 - municipal alarm system, street box false",none,86 - investigate,-,-,-,"960 - street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07027963,0,380 Eddy St.,04/07/2007,070970131,04/07/2007 10:28:15 AM,04/07/2007 10:31:39 AM,04/07/2007 11:25:32 AM,SF,94102,B02,03,,1,4,0,0,0,0,E05,,,0,0,0,0,,"311 - medical assist, assist ems crew",none,32 - provide basic life support (bls),-,-,-,"439 - boarding/rooming house, res. hotels",,,,,,,,,,,,,,,,,,,,,,,,,,,6,Tenderloin,"(37.7838400000297, -122.41388)"
10016788,0,1 280nb 6th St Of,02/24/2010,100550038,02/24/2010 05:29:07 AM,02/24/2010 05:40:02 AM,02/24/2010 05:42:07 AM,SF,,B03,29,,1,4,0,0,0,0,E29,,,0,0,0,0,,"600 - good intent call, other",none,86 - investigate,-,-,-,963 - street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10076533,0,Van Ness Av. / Oak St.,08/31/2010,102430049,08/31/2010 04:25:18 AM,08/31/2010 04:31:16 AM,08/31/2010 05:40:57 AM,SF,94103,B02,36,,1,4,1,2,0,0,E36,,,0,0,0,0,,"311 - medical assist, assist ems crew",none,32 - provide basic life support (bls),-,-,-,963 - street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Mission,"(37.7751460000297, -122.419258)"
13026867,0,Alemany Bl / Farragut Av,03/21/2013,130800328,03/21/2013 06:22:07 PM,03/21/2013 06:29:43 PM,03/21/2013 06:58:57 PM,SF,94112,B09,33,8353,1,4,2,4,0,0,E33,,,0,0,0,0,,322 - vehicle accident with injuries,none,31 - provide first aid & check for injuries,-,-,-,"960 - street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,11,Outer Mission,"(37.7120560000296, -122.451954)"
13111983,0,590 Bush St,11/26/2013,133300084,11/26/2013 08:40:07 AM,11/26/2013 08:46:23 AM,11/26/2013 09:06:08 AM,SF,94108,B01,13,1315,1,4,0,0,0,0,E13,,,0,0,0,0,,"151 - outside rubbish, trash or waste fire",none,11 - extinguish,-,-,-,"564 - laundry, dry cleaning",,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial District/South Beach,"(37.7904600000297, -122.406951)"
11075380,0,Scott St. / Haight St.,08/16/2011,112280211,08/16/2011 02:47:09 PM,08/16/2011 02:50:26 PM,08/16/2011 02:50:33 PM,SF,94117,B05,21,,2,9,0,0,0,0,E21,,,0,0,0,0,,"711 - municipal alarm system, street box false",none,86 - investigate,-,-,-,"962 - residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,5,Haight Ashbury,"(37.7714800000296, -122.435376)"
05090593,0,45 Conkling St.,12/01/2005,053350351,12/01/2005 05:36:36 PM,12/01/2005 05:40:28 PM,12/01/2005 05:50:01 PM,SF,94124,B10,42,,3,10,0,0,0,0,E09,0,0,0,0,0,0,,"730 - system malfunction, other",none,86 - investigate,-,-,-,215 - middle/junior or high school,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Bayview Hunters Point,"(37.7357220000296, -122.401886)"
05073724,0,460 Lyon St.,10/02/2005,052750098,10/02/2005 08:05:24 AM,10/02/2005 08:07:26 AM,10/02/2005 09:10:39 AM,SF,94117,B05,21,,9,31,0,0,0,0,E21,5000,0,0,0,0,0,,111 - building fire,none,11 - extinguish,12 - salvage & overhaul,86 - investigate,-,429 - multifamily dwellings,"72 - exterior balcony, unenclosed porch",2 - unintentional,11 - abandoned or discarded materials or p,-,61 - cigarette,17 - structural member or framing,n - none,3 -open structure,2 -in normal use,2,-,,1,0,0,0,-,-,-,-,-,-,-,-,-,0,5,Lone Mountain/USF,"(37.7751826700297, -122.44267094)"
07004039,0,Lake St. / 5th Av.,01/14/2007,070140017,01/14/2007 12:55:22 AM,01/14/2007 01:00:59 AM,01/14/2007 02:09:06 AM,SF,,B07,31,,1,1,0,0,0,0,E31,,,0,0,0,0,,"118 - trash or rubbish fire, contained",none,11 - extinguish,-,-,u - unknown,"960 - street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
