Incident Number,Exposure Number,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,Zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,Estimated Property Loss,Estimated Contents Loss,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,Property Use,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spead,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,Neighborhood  District,Location
12095290,0,Jamestown Av. / Harney Wy.,10/14/2012,122880190,10/14/2012 01:40:54 PM,10/14/2012 01:47:10 PM,10/14/2012 02:00:52 PM,SF,,B10,17,,2,5,0,0,0,0,E17,,,0,0,0,0,,"320 - emergency medical services, other",none,33 - provide advanced life support (als),-,-,-,"960 - street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08107234,0,1 Sf Intl Airport,12/16/2008,083510179,12/16/2008 11:50:07 AM,12/16/2008 11:53:51 AM,12/16/2008 12:03:59 PM,SFO,,B09,A1,,2,5,0,0,0,0,AP,,,0,0,0,0,,733 - smoke detector activation/malfunction,none,86 - investigate,-,-,-,171 - airport passenger terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(37.6169010000296, -122.38416)"
07077092,0,Mission St. / 3rd St698 Mission,09/26/2007,072690180,09/26/2007 11:37:26 AM,09/26/2007 11:44:47 AM,09/26/2007 11:59:06 AM,SF,94103,B03,01,,1,5,0,0,0,0,T01,,,0,0,0,0,,"331 - lock-in (if lock out , use 511 )",none,"00 - action taken, other",-,-,-,"000 - property use, other",,,,,,,,,,,,,,,,,,,,,,,,,,,6,Financial District/South Beach,"(37.7862480000297, -122.402028)"
05028582,0,Hayes St. / Laguna St.,04/16/2005,051060362,04/16/2005 11:41:57 PM,04/16/2005 11:44:50 PM,04/16/2005 11:45:09 PM,SF,94102,B02,36,,2,9,0,0,0,0,E36,0,0,0,0,0,0,,"711 - municipal alarm system, street box false",none,86 - investigate,-,-,-,963 - street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Hayes Valley,"(37.7764630000297, -122.426265)"
13085425,0,580 Geary St,09/10/2013,132530104,09/10/2013 09:34:45 AM,09/10/2013 09:40:57 AM,09/10/2013 09:44:39 AM,SF,94102,B01,03,1462,3,11,0,0,0,0,E41,,,0,0,0,0,,733 - smoke detector activation/malfunction,none,86 - investigate,-,-,-,429 - multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Tenderloin,"(37.7868310000296, -122.412866)"
09066927,0,Van Ness Av. / Broadway,08/13/2009,092250306,08/13/2009 05:39:17 PM,08/13/2009 05:41:08 PM,08/13/2009 05:47:09 PM,SF,94109,B04,41,,1,4,0,0,0,0,57,,,0,0,0,0,,323 - auto/ped. accident (veh.),none,86 - investigate,-,-,-,"000 - property use, other",,,,,,,,,,,,,,,,,,,,,,,,,,,2,Pacific Heights,"(37.7957380000297, -122.423415)"
13036651,0,Moraga St / 46th Av,04/19/2013,131090208,04/19/2013 01:12:37 PM,04/19/2013 01:17:09 PM,04/19/2013 01:22:00 PM,SF,94122,B08,23,7661,1,4,0,0,0,0,E23,,,0,0,0,0,,444 - power line down (wire),none,45 - remove hazard,86 - investigate,-,-,"900 - outside or special property, other",,,,,,,,,,,,,,,,,,,,,,,,,,,4,Sunset/Parkside,"(37.7548300000296, -122.505531)"
11119669,0,Pacific Av. / Kearny St.,12/26/2011,113600201,12/26/2011 03:39:54 PM,12/26/2011 03:45:36 PM,12/26/2011 04:30:39 PM,SF,94133,B01,13,,1,4,1,2,0,0,E13,,,0,0,0,0,,322 - vehicle accident with injuries,none,33 - provide advanced life support (als),-,-,-,"962 - residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,3,North Beach,"(37.7970900000297, -122.40532)"
11099566,0,100 John F Kennedy Dr.,10/27/2011,113000258,10/27/2011 03:32:44 PM,10/27/2011 03:37:42 PM,10/27/2011 03:37:42 PM,SF,94122,B05,12,,1,4,1,2,0,0,E12,,,0,0,0,0,,322 - vehicle accident with injuries,none,31 - provide first aid & check for injuries,-,-,-,"960 - street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,1,Golden Gate Park,"(37.7723780000297, -122.460173)"
11078187,0,829 27th Av.,08/25/2011,112370181,08/25/2011 11:45:45 AM,08/25/2011 11:50:13 AM,08/25/2011 12:05:58 PM,SF,,B07,14,,1,5,0,0,0,0,T14,,,0,0,0,0,,551 - assist pd or other govern. agency,none,52 - forcible entry,-,-,-,"400 - residential, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
